"Name","COLOR","VT100","SSL","NAWS","EOR","ECHO","MCCP","MXP","MSP","MMCP","256 colors","Unicode"
"AMudClient","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes"
"Atlantis","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes"
"CMUD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"GGMUD","Yes","?","?","?","?","?","Yes","?","?","?","No","?"
"GMUD","Yes","No","No","No","No","No","No","No","No","No","No","?"
"Gnome-Mud","Yes","No","No","No","No","No","No","No","No","No","Yes","?"
"JamochaMUD","Yes","No","Yes","No","No","No","Partial","No","No","No","No","?"
"KBtin","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","?"
"KildClient","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes"
"KMuddy","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","?"
"Lyntin","Yes","No","No","No","No","No","No","No","No","No","Yes","?"
"mcl","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","?"
"muby","Yes","No","No","No","No","No","No","No","No","No","Yes","?"
"Mudlet","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No"
"MudMagic","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?"
"MUSHclient","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Portal","Yes","No","No","No","No","No","No","No","No","No","No","?"
"Potato","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes"
"Powwow","Yes","Yes","No","Yes","No","Yes","No","No","No","No","Yes","?"
"Pueblo/UE","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","?"
"SimpleMU","Yes","No","No","No","No","No","Yes","No","Yes","No","No","No"
"Soiled","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","?"
"TinTin++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"TinyFugue","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No"
"Tortilla","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Trebuchet","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","?"
"Wintin.Net","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","?"
"zMUD","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?"
