"System","Email","RSS","Atom","XMPP","Twitter"
"Apache Bloodhound","Yes","Yes","No","No","No"
"Assembla Tickets","Yes","Yes","No","No","Yes"
"Axosoft","Yes","Yes","No","No","No"
"Brimir","Yes","No","No","No","No"
"Bugzilla","Yes","Yes","Yes","No","No"
"Debbugs","Yes","No","No","No","No"
"FogBugz","Yes","Yes","No","No","No"
"Fossil","No","Yes","No","No","No"
"FusionForge","Yes","Yes","No","No","No"
"GNATS","Yes","No","No","No","No"
"Google Code Hosting","Yes","Yes","No","No","No"
"HP Quality Center","Yes","No","No","No","No"
"IBM Rational ClearQuest","Yes","No","No","No","No"
"JIRA","Yes","Yes","No","Yes","No"
"Kayako SupportSuite","Yes","No","No","No","No"
"Liberum Help Desk","Yes","No","No","No","No"
"LibreSource","No","No","No","No","No"
"MantisBT","Yes","Yes","No","No","Yes"
"Microsoft Dynamics CRM","Yes","No","No","No","No"
"org-mode","No","No","No","No","No"
"OTRS","Yes","No","No","No","No"
"Pivotal Tracker","Yes","Yes","Yes","No","Yes"
"Plain Ticket","Yes","No","No","No","No"
"Planbox","Yes","Yes","No","No","Yes"
"Redmine","Yes","Yes","Yes","Yes, via plugin","Yes"
"Remedy Action Request System","Yes","No","No","No","No"
"Request Tracker","Yes","Yes","No","No","No"
"Roundup","Yes","No","No","No","No"
"StarTeam","Yes","No","No","No","No"
"Supportworks","Yes","No","No","No","No"
"SysAid","Yes","No","No","No","No"
"Team Foundation Server","Yes","No","No","No","No"
"Teamwork","Yes","Yes","No","No","Yes"
"TechExcel's DevTrack","Yes","No","No","No","No"
"TestTrack","Yes","Yes","No","No","No"
"The Bug Genie","Yes","Yes","Yes","No","No"
"Trac","Yes","Yes","No","No","No"
"TrackerSuite.Net","Yes","No","No","No","No"
"Usersnap","Yes","Yes","No","No","No"
"Web Help Desk","Yes","No","No","No","No"
"Wrike","Yes","No","No","No","No"
"YouTrack","Yes","Yes","No","Yes","No"
"Zoho BugTracker","Yes","Yes","No","No","No"
"","","","","",""
