"DVR","MPEG-1","MPEG-2","MPEG-4 ASP (MPEG-4 Part 2), i.e. DivX, XviD","H.264/MPEG-4 AVC (MPEG-4 Part 10)","HEVC (H.265)","VP8","VP9","WMV","AVI","ASF","QuickTime","MP4","RealVideo","MKV"
"Beyond TV","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Unknown","No","No","No","Unknown"
"EyeTV","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"
"GB-PVR","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown"
"Kodi (formerly XBMC)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MediaPortal","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","No","Yes","No","Unknown"
"MediaPhoenix/ShowShifter","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"MythTV","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"SageTV","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown"
"Arcsoft TotalMedia Theatre","Yes","Yes","Yes","Yes","Unknown","No","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"Windows Media Center","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","No","Unknown"
"VBox@TV","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
