"Audio player","Audio","Audio","Audio"
"Audio player","CD","DVD-Audio","HDCD"
"AIMP","Yes","No","No"
"Amarok","Partial","No","No"
"aTunes","No","No","No"
"Audacious","Yes","No","No"
"Audion","Yes","No","No"
"cmus","No","No","No"
"Cog","No","No","No"
"foobar2000","Yes","Yes (plugin)","Yes (plugin)"
"JuK","Yes","No","No"
"Media Jukebox","Yes","No","No"
"MediaMonkey","Yes","No","No"
"MusicBee","Yes","?","?"
"Musicmatch Jukebox","Yes","No","No"
"musikCube","Yes","No","No"
"Rhapsody","Yes","No","No"
"Rhythmbox","Yes","No","No"
"Sonique","Yes","No","No"
"XMMS","Yes","No","No"
"Zinf","Yes","No","No"
"Audio player","CD","DVD-Audio","HDCD"
"","","",""
