"","Trident","Gecko","WebKit","Presto"
"loadstart","5.0","1.9.1","?","?"
"progress","5.0","1.9.1","?","?"
"suspend","5.0","1.9.2","?","?"
"abort","5.0","1.9.1","?","?"
"error","5.0","1.9.1","?","?"
"emptied","5.0","1.9.1","?","?"
"stalled","5.0","8.0","?","?"
"play","5.0","1.9.1","?","?"
"pause","5.0","1.9.1","?","?"
"loadedmetadata","5.0","1.9.1","?","?"
"loadeddata","5.0","1.9.1","?","?"
"waiting","5.0","1.9.1","?","?"
"playing","5.0","No","?","?"
"canplay","5.0","1.9.1","?","?"
"canplaythrough","5.0","1.9.1","?","?"
"seeking","5.0","1.9.1","?","?"
"seeked","5.0","1.9.1","?","?"
"timeupdate","5.0","1.9.1","?","?"
"ended","5.0","1.9.1","?","?"
"ratechange","5.0","1.9.1","?","?"
"durationchange","5.0","1.9.1","?","?"
"volumechange","5.0","1.9.1","?","?"
