"","ZIP","TAR","GZ","BZ/BZ2","7z","xz","RAR","LHA/LZH","ACE","SIT","SITX","ARJ","KGB","DAR","ARC","CAB","ALZ","ISO/CD Image"
"7-Zip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes"
"ALZip","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes"
"Archive Utility","Yes","Yes","Yes","Yes","No","Unknown","No","No","No","No","No","No","No","No","No","No","No","No"
"Ark","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"B1 Free Archiver","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes"
"BetterZip","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes"
"Bitser","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes"
"bsdtar/libarchive","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes"
"cpio","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Disk ARchiver","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"File Roller","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes"
"Filzip","Yes","Yes","Yes","No","No","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No"
"FreeArc","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes"
"GNU tar","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"iArchiver","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No"
"Info-ZIP","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"IZArc","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"KGB Archiver","Yes","No","No","No","No","Unknown","No","No","No","No","No","No","Yes","No","No","No","No","No"
"PeaZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"PKZIP","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes"
"PowerArchiver","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"Star","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"StuffIt","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"The Unarchiver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Partial","Yes","No","No","Yes","Yes","Yes","Yes"
"TUGZip","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"WinAce","Yes","Yes","Yes","No","No","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes"
"WinRAR","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","Yes"
"WinZip","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","Yes"
"XAD","Yes","Yes","Yes","Yes","No","Unknown","Yes","Yes","Partial","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"Xarchiver","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes"
"ZipGenius","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"","ZIP","TAR","GZ","BZ/BZ2","7z","xz","RAR","LHA/LZH","ACE","SIT","SITX","ARJ","KGB","DAR","ARC","CAB","ALZ","ISO/CD Image"
