"Framework","Internet Explorer","Mozilla Firefox","Safari","Opera","Chrome"
"AccDC","6+","2+","3+","9+","1+"
"Ample SDK","6+","1+","3+","9.6+","1+"
"AngularJS (1.3)","8+ (9+)","4+","5+","11+","30+"
"Atoms.js","8+","4+","4+","11+","10+"
"CupQ","6+","2+","3+","9+","1+"
"DHTMLX","6+","1+","2.0+","9+","1+"
"Dojo","6+","3+","4","10.50+","3"
"Echo3","6+","1.5+","3+","9+","1+"
"Ember.js","6+","3+","4+","10.6+","14+"
"Enyo","8+",">4",">5","",">10"
"Ext JS","6+","3.6+","4+","11+","10+"
"Google Web Toolkit","6+","1+","3+","9+","1+"
"jQuery","6+","2+","3+","9+","1+"
"Kendo UI","7+","ESR","5+ (OSX)","15+","Yes"
"midori","6+","1.5+","2+","9+",""
"MochiKit","6","1.0.7, 1.5b2","2.0.2","8.5",""
"MooTools","6+","2+","3+","9+","1+"
"PhoneJS","9+","17+","5+","11+","22+"
"Prototype & script. aculo.us","6+","1.5+","2.0.4+","9.25+","1+ (starting with 1.6.1RC3)"
"Pyjamas","6+","1+","2+","9+",""
"qooxdoo","6+","2+","3+","9+","2+"
"Rialto Toolkit","6+","1.5+","","9+",""
"Rico","5.5+","1+","2.0.3","",""
"SmartClient and SmartGWT","6+","1+","3+","9+","1+"
"SproutCore","6+","3+","4+","9+","1+"
"Wakanda","9+","4+","5+","","11+"
"YUI","6+","3+","4.0","10.0+",""
"ZK","6+","2.0+","3+","9+","2+"
"Webix","8+","3+","4+","9+","1+"
